STUDENT_NUMBER,Academic_Year,Faculty,Programme_Code,Programme_Name,Programme_Duration_Years,Year_Level,Gender,Race,NSFAS_Flag,Residence_Flag,First_Generation_Flag,Entry_APS_Band,Expected_Credits_ToDate,Prior_Credits_Passed,Current_Year_Expected_Credits,Current_Credits_Passed,Total_Credits_Passed,Credit_Completion_Current_Pct,Credit_Completion_ToDate_Pct,Current_Module_Count,Failed_Module_Count,Failed_Gateway_Module_Count,Non_Submitted_Assessment_Count,Failed_Assessment_Count,Student_Overall_CA_Average,Student_Final_Average,Programme_Final_Average,Difference_From_Programme_Avg,Early_At_Risk_Flag,End_At_Risk_Flag,Progression_Risk_Level,Recommended_Action,Equity_Review_Group
4260055,2026,EMS,BCOM,Bachelor of Commerce,3,3,Male,Coloured,Yes,No,Yes,35-39,360,240,120,120,360,1.0,1.0,4,0,0,1,4,49.4,55.6,50.5,5.1,Yes,No,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Male | NSFAS Yes | Residence No
4260056,2026,EMS,BCOM,Bachelor of Commerce,3,3,Male,African,Yes,No,Yes,35-39,360,240,120,60,300,0.5,0.8333,4,2,1,1,7,45.5,47.3,50.5,-3.2,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Male | NSFAS Yes | Residence No
4260057,2026,EMS,BCOM,Bachelor of Commerce,3,3,Male,African,Yes,No,Yes,45+,360,240,120,120,360,1.0,1.0,4,0,0,0,2,61.1,65.2,50.5,14.7,No,No,On Track,Routine monitoring and positive reinforcement,Male | NSFAS Yes | Residence No
4260058,2026,EMS,BCOM,Bachelor of Commerce,3,3,Female,White,Yes,Yes,Yes,35-39,360,240,120,30,270,0.25,0.75,4,3,2,1,7,49.7,49.7,50.5,-0.8,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS Yes | Residence Yes
4260059,2026,EMS,BCOM,Bachelor of Commerce,3,1,Female,African,Yes,Yes,No,30-34,120,0,120,60,60,0.5,0.5,4,2,2,3,3,52.7,57.8,50.5,7.3,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS Yes | Residence Yes
4260060,2026,EMS,BCOM,Bachelor of Commerce,3,3,Male,Coloured,No,No,No,35-39,360,240,120,90,330,0.75,0.9167,4,1,1,2,4,59.4,54.7,50.5,4.2,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Male | NSFAS No | Residence No
4260061,2026,EMS,BCOM,Bachelor of Commerce,3,2,Male,Coloured,Yes,No,No,30-34,240,120,120,90,210,0.75,0.875,4,1,1,0,4,55.1,53.7,50.5,3.2,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Male | NSFAS Yes | Residence No
4260062,2026,EMS,BCOM,Bachelor of Commerce,3,2,Female,Indian,Yes,No,Yes,35-39,240,120,120,60,180,0.5,0.75,4,2,2,1,4,46.8,50.5,50.5,0.0,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS Yes | Residence No
4260063,2026,EMS,BCOM,Bachelor of Commerce,3,2,Male,African,Yes,No,Yes,35-39,240,120,120,0,120,0.0,0.5,4,4,3,0,12,41.2,40.5,50.5,-9.9,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS Yes | Residence No
4260064,2026,EMS,BCOM,Bachelor of Commerce,3,2,Female,Coloured,No,Yes,No,35-39,240,120,120,90,210,0.75,0.875,4,1,0,0,5,52.3,54.3,50.5,3.8,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Female | NSFAS No | Residence Yes
4260065,2026,EMS,BCOM,Bachelor of Commerce,3,1,Female,Coloured,No,No,No,35-39,120,0,120,0,0,0.0,0.0,4,4,3,3,6,32.1,41.2,50.5,-9.3,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS No | Residence No
4260066,2026,EMS,BCOM,Bachelor of Commerce,3,2,Male,African,No,No,No,40-44,240,120,120,120,240,1.0,1.0,4,0,0,0,0,73.0,74.4,50.5,23.9,No,No,On Track,Routine monitoring and positive reinforcement,Male | NSFAS No | Residence No
4260067,2026,EMS,BCOM,Bachelor of Commerce,3,1,Female,Indian,Yes,Yes,No,35-39,120,0,120,120,120,1.0,1.0,4,0,0,1,1,65.8,69.8,50.5,19.3,Yes,No,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Female | NSFAS Yes | Residence Yes
4260068,2026,EMS,BCOM,Bachelor of Commerce,3,3,Male,Coloured,Yes,No,No,30-34,360,210,120,30,240,0.25,0.6667,4,3,3,0,10,45.3,44.4,50.5,-6.0,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS Yes | Residence No
4260069,2026,EMS,BCOM,Bachelor of Commerce,3,2,Female,Other/Not disclosed,Yes,No,No,35-39,240,120,120,0,120,0.0,0.5,4,4,3,0,10,48.7,45.9,50.5,-4.6,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS Yes | Residence No
4260070,2026,EMS,BCOM,Bachelor of Commerce,3,2,Female,African,No,Yes,Yes,35-39,240,120,120,90,210,0.75,0.875,4,1,1,0,2,59.7,58.0,50.5,7.5,No,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Female | NSFAS No | Residence Yes
4260071,2026,EMS,BCOM,Bachelor of Commerce,3,1,Female,African,No,Yes,Yes,35-39,120,0,120,90,90,0.75,0.75,4,1,1,2,4,51.1,52.3,50.5,1.9,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Female | NSFAS No | Residence Yes
4260072,2026,EMS,BCOM,Bachelor of Commerce,3,1,Male,African,Yes,No,No,35-39,120,0,120,60,60,0.5,0.5,4,2,1,1,6,48.7,52.3,50.5,1.8,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS Yes | Residence No
4260073,2026,EMS,BCOM,Bachelor of Commerce,3,3,Female,African,Yes,Yes,Yes,35-39,360,240,120,0,240,0.0,0.6667,4,4,3,1,14,29.2,32.1,50.5,-18.4,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS Yes | Residence Yes
4260074,2026,EMS,BCOM,Bachelor of Commerce,3,1,Female,African,Yes,No,Yes,35-39,120,0,120,0,0,0.0,0.0,4,4,3,2,8,43.1,42.6,50.5,-7.9,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS Yes | Residence No
4260075,2026,EMS,BCOM,Bachelor of Commerce,3,3,Female,African,Yes,No,Yes,35-39,360,240,120,90,330,0.75,0.9167,4,1,1,2,2,52.5,57.4,50.5,6.9,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Female | NSFAS Yes | Residence No
4260076,2026,EMS,BCOM,Bachelor of Commerce,3,3,Male,African,Yes,No,No,35-39,360,240,120,0,240,0.0,0.6667,4,4,3,5,9,29.0,22.1,50.5,-28.4,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS Yes | Residence No
4260077,2026,EMS,BCOM,Bachelor of Commerce,3,1,Female,African,No,No,No,35-39,120,0,120,90,90,0.75,0.75,4,1,1,0,6,58.0,56.6,50.5,6.1,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Female | NSFAS No | Residence No
4260078,2026,EMS,BCOM,Bachelor of Commerce,3,2,Female,African,No,No,No,35-39,240,120,120,0,120,0.0,0.5,4,4,3,1,10,39.9,40.7,50.5,-9.8,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS No | Residence No
4260079,2026,EMS,BCOM,Bachelor of Commerce,3,1,Male,African,Yes,Yes,Yes,40-44,120,0,120,120,120,1.0,1.0,4,0,0,0,0,80.0,82.6,50.5,32.1,No,No,On Track,Routine monitoring and positive reinforcement,Male | NSFAS Yes | Residence Yes
4260080,2026,EMS,BCOM,Bachelor of Commerce,3,2,Female,Coloured,Yes,No,No,35-39,240,120,120,30,150,0.25,0.625,4,3,3,0,8,49.1,46.9,50.5,-3.5,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Female | NSFAS Yes | Residence No
4260081,2026,EMS,BCOM,Bachelor of Commerce,3,3,Male,Indian,Yes,No,No,40-44,360,240,120,90,330,0.75,0.9167,4,1,1,0,4,53.6,58.4,50.5,7.9,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Male | NSFAS Yes | Residence No
4260082,2026,EMS,BCOM,Bachelor of Commerce,3,2,Female,African,Yes,No,Yes,45+,240,120,120,120,240,1.0,1.0,4,0,0,1,0,65.0,67.9,50.5,17.5,No,No,On Track,Routine monitoring and positive reinforcement,Female | NSFAS Yes | Residence No
4260083,2026,EMS,BCOM,Bachelor of Commerce,3,3,Male,African,Yes,Yes,Yes,30-34,360,240,120,60,300,0.5,0.8333,4,2,2,1,5,51.8,46.4,50.5,-4.1,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS Yes | Residence Yes
4260084,2026,EMS,BCOM,Bachelor of Commerce,3,1,Male,African,No,Yes,No,30-34,120,0,120,60,60,0.5,0.5,4,2,2,0,9,44.7,47.2,50.5,-3.3,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS No | Residence Yes
4260085,2026,EMS,BCOM,Bachelor of Commerce,3,1,Female,African,Yes,No,Yes,30-34,120,0,120,120,120,1.0,1.0,4,0,0,0,2,66.1,62.8,50.5,12.3,No,No,On Track,Routine monitoring and positive reinforcement,Female | NSFAS Yes | Residence No
4260086,2026,EMS,BCOM,Bachelor of Commerce,3,1,Male,African,Yes,No,No,40-44,120,0,120,60,60,0.5,0.5,4,2,1,1,7,56.8,49.3,50.5,-1.2,Yes,Yes,High Risk,"Immediate student success intervention, academic advising, module lecturer follow-up and support referral",Male | NSFAS Yes | Residence No
4260087,2026,EMS,BCOM,Bachelor of Commerce,3,2,Male,African,Yes,No,No,35-39,240,120,120,120,240,1.0,1.0,4,0,0,1,3,63.8,59.7,50.5,9.2,Yes,No,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Male | NSFAS Yes | Residence No
4260088,2026,EMS,BCOM,Bachelor of Commerce,3,2,Female,African,No,Yes,Yes,40-44,240,120,120,90,210,0.75,0.875,4,1,1,2,1,61.4,64.5,50.5,14.0,Yes,Yes,Watch,"Advisor or lecturer check-in, targeted tutorial support and weekly monitoring",Female | NSFAS No | Residence Yes
